name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,Season
Micky van de Ven,DEF,Spurs,0.0,0,0,0,0,0.0,639,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,9,0,0,0,0,18,0,127648,0,1,2,0.0,0,-9817,125,9942,44,True,0,18,2023-2024
Adama Traoré,MID,Fulham,0.2,0,0,0,0,0.0,662,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,6,0,0,0,0,18,0,2727,0,2,0,0.0,0,-38,10,48,49,True,0,18,2023-2024
Shola Shoretire,FWD,Man Utd,0.5,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,19,0,0,0,0,18,0,26195,0,0,2,0.0,0,-397,509,906,44,False,0,18,2023-2024
Ademola Ola-Adebomi,FWD,Crystal Palace,0.0,0,0,0,0,0.0,720,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,5,0,0,0,0,18,0,3159,0,1,1,0.0,0,-75,277,352,45,True,0,18,2023-2024
Lisandro Martínez,DEF,Man Utd,0.0,0,0,0,0,0.0,391,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,19,0,0,0,0,18,0,233790,0,0,2,0.0,0,-1726,74,1800,47,False,0,18,2023-2024
Alex Mighten,MID,Nott'm Forest,0.0,0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,3,0,0,0,0,18,0,1840,0,3,2,0.0,0,-12,0,12,44,True,0,18,2023-2024
Nicolas Pépé,MID,Arsenal,0.0,0,0,0,0,0.0,16,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,11,0,0,0,0,18,0,4588,0,1,1,0.0,0,-12,0,12,49,False,0,18,2023-2024
Alexis Mac Allister,MID,Liverpool,1.0,0,0,0,0,0.0,304,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,1,0,0,0,0,18,0,291323,0,1,1,0.0,0,-9166,86,9252,58,True,0,18,2023-2024
David Ozoh,MID,Crystal Palace,0.3,0,0,0,0,0.3,721,0.0,0.0,0.0,0.59,172,1,0,0.5,4.4,2023-12-21T20:00:00Z,31,5,0,0,0,0,18,0,506,0,1,1,0.0,0,-1,34,35,45,True,1,18,2023-2024
Sydie Peck,MID,Sheffield Utd,-0.2,0,0,0,0,0.0,759,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2023-12-22T20:00:00Z,0,2,0,0,0,0,18,0,59,0,1,1,0.0,0,10,16,6,45,False,0,18,2023-2024
Omari Kellyman,MID,Aston Villa,0.5,0,0,0,0,0.0,618,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2023-12-22T20:00:00Z,0,17,0,0,0,0,18,0,5676,0,1,1,0.0,0,-138,76,214,45,True,0,18,2023-2024
Youri Tielemans,MID,Aston Villa,0.0,0,0,0,0,0.0,58,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2023-12-22T20:00:00Z,0,17,0,0,0,0,18,0,50070,0,1,1,0.0,0,-2950,78,3028,56,True,0,18,2023-2024
Remo Freuler,MID,Nott'm Forest,0.0,0,0,0,0,0.0,446,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,3,0,0,0,0,18,0,1234,0,3,2,0.0,0,-9,0,9,49,True,0,18,2023-2024
Illia Zabarnyi,DEF,Bournemouth,3.0,0,0,13,0,12.7,89,0.03,0.03,0.0,0.75,177,2,0,3.1,18.0,2023-12-23T15:00:00Z,90,16,0,0,0,0,18,0,17955,1,3,2,0.0,1,-1746,730,2476,44,False,0,18,2023-2024
Karl Hein,GK,Arsenal,0.0,0,0,0,0,0.0,646,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,11,0,0,0,0,18,0,5283,0,1,1,0.0,0,-37,86,123,40,False,0,18,2023-2024
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,127,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,8,0,0,0,0,18,0,1879,0,1,1,0.0,0,-25,0,25,45,False,0,18,2023-2024
Dean Henderson,GK,Crystal Palace,0.8,0,0,16,0,0.0,385,0.01,0.01,0.0,1.14,172,1,0,3.3,33.0,2023-12-21T20:00:00Z,90,5,0,0,0,0,18,5,29179,1,1,1,0.0,2,6310,6885,575,44,True,1,18,2023-2024
Jay Rodriguez,FWD,Burnley,3.5,0,0,4,0,1.1,177,0.0,0.0,0.0,0.46,173,0,0,0.2,1.2,2023-12-23T15:00:00Z,25,10,0,0,0,0,18,0,38512,0,2,0,0.0,1,2023,5595,3572,53,False,0,18,2023-2024
